COMPLAINT/INQUIRY NUMBER,LICENSE TYPE,ACCOUNT NAME,BIC NUMBER,DATE COMPLAINT/INQUIRY REPORTED ON,INDUSTRY TYPE,ACCOUNT STATUS,SOURCE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY DISPOSITION,COMPLAINT/INQUIRY STATUS,TOTAL RESPONSE TIME,COMPLAINT OR INQUIRY,NATURE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY STREET ADDRESS,COMPLAINT/INQUIRY CITY,COMPLAINT/INQUIRY STATE,COMPLAINT/INQUIRY ZIP,COMPLAINT/INQUIRY BOROUGH,ACCOUNT FOCUS OF COMPLAINT/INQUIRY,ACCOUNT ADDRESS,ACCOUNT CITY,ACCOUNT STATE,ACCOUNT ZIP,ACCOUNT PHONE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE TYPE,VEHICLE YEAR,VEHICLE COLOR,CONTACTED COMPLAINANT,UNABLE TO CONTACT COMPLAINANT,METHOD USED TO CONTACT COMPLAINANT,EXPORT DATE,Borough,Latitude,Longitide,Community Board,Council District,Census Tract,BIN,BBL,NTA
COMP-189817,Trade Waste,ACTION CARTING ENVIRONMENTAL SERVICES INC.,BIC-1181,11/25/2013,Trade Waste,Active,311/PHONE - 9278,Unsubstantiated,Closed,21.0,Complaint,Quality of Life-Noise - Trade Waste,144 South Oxford st,NY,NY,11217,Manhattan,ACTION CARTING ENVIRONMENTAL SERVICES INC.,P.O.BOX 2698,NEWARK,NJ,07114-,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.68496,-73.973199,2,35,179,3057500,3020040050,Fort Greene
2010-00762,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Complaint,Quality of Life-Noise - Trade Waste,E. 27 St. between Madison & 5th,nyc,NY,,NYC,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01714,,,,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Information - All;Licensing - All,,,,,,N/A,,,,11412-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01764,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Violation Written,Closed,,Inquiry,Quality of Life-Spillage - Trade Waste,2315 Broadway,,NY,,NYC,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01370,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00960,,GREASE TIGER USA CORP,TWC-4285,,Trade Waste,,EMAIL,,Closed,,Complaint,Waste Oil - Trade Waste,133-48 Whitestone Expwy,Queens,NY,11354-,Queens,GREASE TIGER USA CORP,4842 46TH STREET APT 1C,WOODSIDE,APPROVED,,(973) 483-1323,,,,,,False,False,,2024-02-21,QUEENS,40.768646,-73.835546,7,20,869,4000000,4043670001,Flushing
2006-00798,,,,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,Service - All,,,NY,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196114,Trade Waste,"JORO CARTING, INC.",BIC-180,08/20/2021,Trade Waste,Active,WEB-MAIL,Resolved,Closed,0.0,Complaint,Service - All,7 Bay 28th Street,Brooklyn,NY,11214,Brooklyn,"JORO CARTING, INC.",1325 61ST STREET,BROOKLYN,NY,11219,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.60248,-73.995668,11,47,290,3167040,3063790038,Bensonhurst West
INQ-191599,,,,02/04/2015,Trade Waste,,PHONE - 6300,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2013-01068,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred to Another Agency,Closed,,Complaint,Misinformation - All,,,,,,N/A,,,,48051-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00957,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Inquiry,,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196937,,,,06/12/2023,Trade Waste,,SELF-INITIATED,Referred to Another Agency,Closed,0.0,Complaint,Quality of Life-Odor - Trade Waste;Quality of Life-Spillage - Trade Waste;Other - All,58A West 15th Street,New York,NY,10011,Manhattan,,,,,,,,,,,,False,True,,2024-02-21,MANHATTAN,40.737707,-73.995562,5,3,54,1015301,1008160074,Hudson Yards-Chelsea-Flatiron-Union Square
INQ-194366,,"NORTHSTAR RECYCLING COMPANY, LLC.",BIC-489270,09/26/2018,Trade Waste,Active,WEB-MAIL,Referred To Licensing,Closed,1.0,Inquiry,Information - All;Licensing - All,,,,,,"NORTHSTAR RECYCLING COMPANY, INC.",94 MAPLE STREET,EAST LONGMEADOW,MA,01028,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
INQ-195845,,,,03/11/2021,Trade Waste,,WEB-MAIL,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2009-00507,,UNITED SANITATION INC.,TWC-98,,Trade Waste,,PHONE - 6300,Referred To BIC Intel,Closed,,Inquiry,Containers-Theft - Trade Waste,174 and LIE,NYC,NY,,Queens,UNITED SANITATION INC.,170-10 DOUGLAS AVENUE,JAMAICA,RENEWAL APPROVED,,(718) 658-7272,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-191450,Trade Waste;Transfer Station,"WASTE CONNECTIONS OF NEW YORK, INC.",BIC-1059,12/18/2014,Trade Waste,Active,E-Mail,Resolved,Closed,1.0,Complaint,Quality of Life-Noise - Trade Waste,11 W 60Th St,New York,NY,10023-7917,Manhattan,IESI NY CORPORATION,"99 WOOD AVENUE SOUTH, SUITE 1001",ISELIN,NJ,08830,,,,,,,True,False,E-Mail,2024-02-21,MANHATTAN,40.769163,-73.982675,7,3,145,1027189,1011130018,Lincoln Square
INQ-192232,,,,07/27/2015,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-00602,,,,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,88-26 Ashford Street,UNKNOWN,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-01059,,,TWC-0,,Trade Waste,,FAX,Resolved,Closed,,Complaint,Illegal Dumping - Trade Waste,,,NY,,,VAU INDUSTRIES,,,,,718 821-5555,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190225,Trade Waste,YANKEE CARTING CORP.,BIC-1867,02/27/2014,Trade Waste,Active,311/PHONE - 9278,Resolved,Closed,5.0,Complaint,Other - All,27 Granite Street,Brooklyn,NY,11207,Brooklyn,YANKEE CARTING CORP.,31-48 82ND STREET,JACKSON HEIGHTS,NY,11370-,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.682522,-73.907829,4,37,403,3080321,3034560045,Bushwick South
2009-01399,,"CROWN CONTAINER TRANSFER STATION CO., INC.",TWC-307,,Trade Waste,,PHONE - OTHER,Unsubstantiated,Closed,,Inquiry,Cardboard-Theft - Trade Waste,Main Street,nyc,NY,,Queens,CROWN CONTAINER CO. INC.,75 AMBY AVENUE,PLAINVIEW,RENEWAL APPROVED,,(718) 527-1414,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01818,,TIFFANY CARTING CORP.,TWC-213,,Trade Waste,,MAIL,Unsubstantiated,Closed,,Complaint,Harassment - All,,,,,,TIFFANY CARTING CORP.,465 JOHNSON AVENUE,BROOKLYN,RENEWAL APPROVED,,(718) 386-5119,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01691,,,TWC-NaN,,Trade Waste,,MAIL,Referred To BIC Intel,Closed,,Inquiry,Illegal Dumping - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192517,Trade Waste,"DANELLA CONSTRUCTION OF NY, INC.",BIC-1993 / BIC-3156 / BIC-4098,10/15/2015,Trade Waste,Active,WEB-MAIL,Unsubstantiated,Closed,14.0,Complaint,Unlicensed Carter - Trade Waste,400 Tiffany Street,Bronx,NY,10474,Bronx,"DANELLA CONSTRUCTION OF NY, INC.",80 BUSINESS DRIVE SUITE 200,ARMONK,NY,10504-,,,,,,,False,True,,2024-02-21,BRONX,40.80818,-73.88964,2,17,93,2094477,2027710138,Hunts Point
COMP-193265,,,,12/08/2016,Trade Waste,,FAX,Resolved,Closed,1.0,Complaint,Harassment - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2008-00689,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-02117,,ROYAL WASTE SERVICES INC.,TWC-1240,,Trade Waste,,PHONE - 6275,Resolved,Closed,,Inquiry,Misinformation - All,,,,,,ROYAL WASTE SERVICES INC.,187 40 HOLLIS AVENUE,HOLLIS,RENEWAL PENDING,,(718) 468-8679,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-191540,,,,01/13/2015,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,0.0,Inquiry,Information - All;Licensing - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-190765,Trade Waste,"LIBERTY ASHES, INC.",BIC-112,07/01/2014,Trade Waste,Active,PHONE - 6300,Resolved,Closed,9.0,Complaint,Service - All,100-47 210 Street,Queens village,NY,11429,Queens,LIBERTY ASHES INC.,112 PHYLIS COURT,ELMONT,NY,11003,,,,,,,True,False,Phone Call,2024-02-21,QUEENS,40.712597,-73.749419,13,27,512,4232675,4108780018,Queens Village
COMP-193342,Trade Waste,ACTION CARTING ENVIRONMENTAL SERVICES INC.,BIC-1181,02/08/2017,Trade Waste,Active,PHONE - 6300,Resolved,Closed,5.0,Complaint,Service - All,2541 Broadway,New York,NY,10025,Manhattan,ACTION CARTING ENVIRONMENTAL SERVICES INC.,"300 FRANK W. BURR BLVD, STE. 39",TEANECK,NJ,07666,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.794086,-73.972216,7,6,183,1033693,1012430010,Upper West Side
2012-00202,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00507,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01510,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2006-01244,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Complaint,Other - All,,,NY,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190131,Trade Waste,MOCO GENERAL CONSTRUCTION CORP,BIC-4054,02/05/2014,Trade Waste,Active,PHONE - 6300,Violation Written,Closed,9.0,Complaint,Criminal - All,41st Street and Astoria blvd. North,Astoria,NY,,Queens,MOCO GENERAL CONSTRUCTION CORP,34-26 STEINWAY STREET,ASTORIA,NY,11101-,,,,,,,False,True,,2024-02-21,,,,,,,,,
2012-00936,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194022,Trade Waste,"CODI TRANSPORT, LTD.",BIC-1554,04/16/2018,Trade Waste,Active,311/PHONE - 9278,Unsubstantiated,Closed,9.0,Complaint,Other - All,739 Park Avenue,Brooklyn,NY,11206,Brooklyn,"CODI TRANSPORT, LTD.",72 ALLEN BOULEVARD,FARMINGDALE,NY,11735,,,,,,,False,True,Phone Call,2024-02-21,BROOKLYN,40.697978,-73.946208,3,36,257,3048400,3017310038,Bedford
2008-01608,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01691,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-01890,,,TWC-0,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,170-07 Pidgeon Meadow Rd.,nyc,NY,,Queens,Jan Landscaping,,,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01094,,GLOBAL CARTING,TWC-1475,,Trade Waste,,PHONE - 6275,Referred To BIC Intel,Closed,,Inquiry,Criminal - All,929 Dean St.,,NY,,Brooklyn,GLOBAL CARTING,7918  15TH AVENUE,BROOKLYN,EXPIRED,,(718) 234-5958,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-191420,,,,12/11/2014,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
INQ-192477,,,,10/02/2015,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,3.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2011-00699,,,,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192254,,,,08/05/2015,Trade Waste,,PHONE - 6300,Resolved,Closed,1.0,Complaint,Unlicensed Carter - Trade Waste;Waste Oil - Trade Waste,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-02017,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00612,,,TWC-NaN,,Trade Waste,,PHONE - 6300,,Closed,,Inquiry,,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-191482,,,,12/31/2014,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-02260,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unable to Contact Complainant,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2006-01137,,CARDELLA TRUCKING CO. INC.,TWC-581,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,Service - All,,,NY,,,CARDELLA TRUCKING CO. INC.,2400 TONNELLE AVENUE,NO. BERGEN,RENEWAL APPROVED,,(201) 867-7903,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190305,,,,03/17/2014,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,0.0,Complaint,Service - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2008-00297,,"SAL DONA, INC.",TWC-1245,,Trade Waste,,311/PHONE - 9278,Unsubstantiated,Closed,,Inquiry,Unlicensed Carter - Trade Waste;Containers-Unremoved - Trade Waste,,,NY,,,SALDONA INC.,786 EAST 94 STREET,BROOKLYN,WITHDRAWN,,(718) 251-0657,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00918,,"WEST SHORE TRUCKING, INC.",TWC-2093,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Inquiry,Unlicensed Carter - Trade Waste,,,NY,,,WEST SHORE TRUCKING INC.,2 KINSEY PLACE,STATEN ISLAND,RENEWAL APPROVED,,(718) 273-0657,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00550,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Resolved,Closed,,Complaint,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190559,,,,05/15/2014,Trade Waste,,PHONE - 6300,Referred back to 311,Closed,0.0,Inquiry,Misinformation - All,,,,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195457,,COGENT WASTE SOLUTIONS LLC,BIC-501970,05/15/2020,Trade Waste,Active,WEB-MAIL,Insufficient Information,Closed,3.0,Complaint,Other - All,,,,,,COGENT WASTE SOLUTIONS LLC,860 HUMBOLDT STREET,BROOKLYN,NY,11222,,,,,,,False,True,,2024-02-21,,,,,,,,,
2012-01445,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
